1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
3577610,0,44,2,12,"$43,486 ",Yes,$0 ,z_No,z_F,z_High School,z_Blue Collar,30,Commercial,"$5,900 ",10,z_SUV,no,$0 ,0,No,0,$0 ,10,0,San Francisco,3/6/2012
892208080,1,37,2,,"$107,961 ",No,"$333,680 ",Yes,M,Bachelors,z_Blue Collar,44,Commercial,"$16,970 ",1,Van,yes,"$2,374 ",1,Yes,10,"$4,021 ",7,1,San Francisco,3/6/2012
77382913,0,34,0,10,"$62,978 ",No,$0 ,z_No,z_F,Bachelors,Clerical,34,Private,"$11,200 ",1,z_SUV,no,$0 ,0,No,0,"$2,501 ",1,1,Los Angeles,4/19/2013
856886560,0,50,0,7,"$106,952 ",No,$0 ,z_No,M,Bachelors,Professional,48,Commercial,"$18,510 ",7,Van,no,$0 ,0,No,1,$0 ,17,0,New York City,12/26/2012
308455362,0,53,0,14,"$77,100 ",No,$0 ,z_No,z_F,Masters,Lawyer,15,Private,"$18,300 ",1,Sports Car,no,$0 ,0,No,0,"$6,077 ",11,1,Gulfport,11/13/2013
989828809,0,43,0,5,"$52,642 ",No,"$209,970 ",Yes,z_F,Masters,Professional,36,Private,"$22,420 ",7,Minivan,no,$0 ,0,No,0,$0 ,1,0,San Francisco,6/6/2014
376482434,0,55,0,11,"$59,162 ",No,"$180,232 ",Yes,M,Bachelors,Manager,25,Commercial,"$17,600 ",7,Van,yes,"$5,028 ",2,Yes,3,$0 ,9,0,New York City,7/31/2015
665591504,0,53,0,11,"$130,795 ",No,$0 ,z_No,M,PhD,,64,Commercial,"$28,340 ",6,Panel Truck,yes,$0 ,0,No,3,"$1,267 ",10,1,Troy,2/19/2012
713692930,0,35,2,,"$21,204 ",Yes,$0 ,z_No,M,z_High School,Clerical,74,Private,"$9,230 ",6,Pickup,no,$0 ,0,Yes,0,$0 ,4,0,Los Angeles,9/8/2015
588888550,0,45,0,0,$0 ,No,"$106,859 ",Yes,z_F,<High School,Home Maker,48,Private,"$6,000 ",1,z_SUV,no,$0 ,0,No,3,"$2,920 ",5,1,Philadelphia,1/31/2015
140015922,0,39,3,12,"$51,884 ",Yes,"$180,951 ",z_No,z_F,Bachelors,Clerical,43,Private,"$10,590 ",6,z_SUV,no,$0 ,0,No,0,$0 ,13,0,Jacksonville,12/5/2015
162166370,0,59,0,12,"$87,460 ",No,$0 ,z_No,M,z_High School,Manager,45,Private,"$15,420 ",1,Minivan,yes,"$44,857 ",2,No,4,"$4,111 ",1,1,Austin,8/8/2013
884513944,0,42,0,11,"$59,945 ",No,"$192,207 ",Yes,M,Masters,Lawyer,42,Private,"$14,190 ",6,Minivan,no,$0 ,0,No,0,$0 ,16,0,San Francisco,3/6/2012
627708979,0,34,3,13,"$34,019 ",No,"$91,875 ",Yes,z_F,Masters,Lawyer,27,Private,"$8,300 ",7,z_SUV,no,$0 ,0,No,0,$0 ,20,0,Redmond,5/1/2012
116375554,0,31,2,12,"$18,903 ",No,"$93,797 ",Yes,z_F,<High School,Clerical,48,Private,"$17,330 ",4,Minivan,no,$0 ,0,No,0,$0 ,7,0,Pasadena,2/27/2014
235358484,0,28,1,13,"$44,077 ",No,"$170,598 ",Yes,z_F,z_High School,z_Blue Collar,29,Commercial,"$8,710 ",6,z_SUV,no,"$8,935 ",2,No,0,"$6,857 ",1,1,Jacksonville,7/31/2015
528040687,0,43,0,13,"$37,214 ",No,,Yes,M,<High School,z_Blue Collar,52,Commercial,"$26,560 ",1,Panel Truck,yes,$0 ,0,No,3,"$3,627 ",1,1,New York City,9/5/2015
652572577,0,48,0,14,"$96,274 ",No,"$282,904 ",Yes,z_F,Masters,Lawyer,36,Private,"$11,130 ",6,z_SUV,no,"$8,250 ",1,No,5,$0 ,14,0,Arlington,12/16/2012
410873772,0,47,0,11,"$46,281 ",No,$0 ,z_No,z_F,<High School,z_Blue Collar,29,Private,"$19,700 ",10,Minivan,no,$0 ,0,No,1,$0 ,5,0,Austin,3/13/2012
254362485,2,44,2,0,$0 ,No,"$82,344 ",Yes,z_F,z_High School,Home Maker,8,Private,"$5,900 ",6,z_SUV,no,"$3,338 ",3,No,0,$0 ,11,0,Jacksonville,4/21/2012
69165559,0,46,0,14,,No,"$207,519 ",Yes,M,Bachelors,Professional,7,Commercial,"$25,660 ",1,Panel Truck,no,"$2,119 ",1,No,2,$0 ,12,0,Seattle,2/24/2013
201327208,0,60,0,12,"$37,940 ",No,"$182,739 ",Yes,z_F,z_High School,z_Blue Collar,16,Commercial,"$11,290 ",1,Sports Car,no,$0 ,0,No,0,"$5,247 ",1,1,New York City,12/27/2012
573751437,0,33,1,13,"$79,606 ",No,"$225,962 ",Yes,z_F,Bachelors,Professional,27,Private,"$16,830 ",9,z_SUV,no,$0 ,0,No,2,$0 ,15,0,Seattle,7/17/2013
483050926,0,32,1,9,"$31,275 ",No,"$118,160 ",Yes,z_F,z_High School,Clerical,26,Private,"$10,030 ",1,z_SUV,no,$0 ,0,No,0,"$4,486 ",1,1,Waynesboro,12/27/2013
146989842,1,44,2,17,"$45,488 ",No,"$219,378 ",Yes,M,Bachelors,Manager,16,Private,"$22,090 ",17,Minivan,no,$0 ,0,No,0,$0 ,12,0,Seattle,11/2/2012
742435591,0,35,0,8,"$72,193 ",No,$0 ,z_No,z_F,Bachelors,Clerical,26,Private,"$12,220 ",6,z_SUV,no,$0 ,0,No,3,$0 ,12,0,Greenwood,12/27/2013
915517588,0,40,2,0,,No,"$98,777 ",Yes,z_F,Masters,Home Maker,15,Private,"$14,130 ",6,z_SUV,no,"$38,127 ",2,Yes,4,$0 ,12,0,Greenwood,9/13/2012
756785495,0,54,0,12,"$33,212 ",No,"$158,432 ",Yes,M,<High School,z_Blue Collar,27,Commercial,"$24,000 ",4,Panel Truck,no,$0 ,0,No,5,"$4,901 ",,1,New York City,5/12/2012
66662029,0,49,0,5,"$49,244 ",No,"$163,444 ",Yes,M,Bachelors,Clerical,30,Private,"$15,880 ",1,Minivan,no,$0 ,0,No,1,$0 ,1,0,New York City,12/30/2012
294816298,2,36,2,12,"$130,540 ",Yes,"$344,195 ",z_No,z_F,Bachelors,z_Blue Collar,5,Commercial,"$27,200 ",4,Minivan,no,$0 ,0,No,0,$0 ,9,0,Los Angeles,1/14/2015
686791659,0,52,0,8,"$51,278 ",No,"$230,340 ",Yes,z_F,Bachelors,Professional,37,Private,"$1,500 ",4,z_SUV,no,$0 ,0,No,1,$0 ,10,0,Waynesboro,1/10/2012
269341556,0,41,0,7,"$92,842 ",No,"$286,113 ",z_No,M,Masters,,12,Commercial,"$25,810 ",6,Panel Truck,no,"$1,431 ",2,No,5,$0 ,15,0,Waynesboro,8/22/2014
396972296,0,39,0,10,"$35,081 ",No,"$202,839 ",Yes,M,Bachelors,z_Blue Collar,38,Commercial,"$16,640 ",4,Van,yes,$0 ,0,No,0,$0 ,13,0,Concord,11/11/2015
364483168,0,56,0,0,$0 ,No,"$63,827 ",Yes,z_F,PhD,Home Maker,65,Private,"$13,220 ",1,Minivan,no,$0 ,0,No,0,$0 ,12,0,Des Moines,9/26/2015
866093378,0,49,0,12,"$115,044 ",No,"$311,980 ",z_No,z_F,PhD,Doctor,18,Private,"$17,900 ",1,Minivan,no,$0 ,0,No,0,$0 ,14,0,New York City,12/13/2013
515421877,0,38,0,11,"$37,754 ",No,"$138,823 ",Yes,z_F,z_High School,Clerical,47,Private,"$12,080 ",1,z_SUV,no,$0 ,0,No,2,$0 ,9,0,New York City,9/22/2012
173737852,0,43,2,17,"$145,353 ",No,"$418,785 ",Yes,z_F,Masters,,38,Commercial,"$29,450 ",6,Van,no,$0 ,0,No,0,$0 ,15,0,Philadelphia,3/21/2014
745183922,0,50,0,8,"$167,469 ",No,$0 ,z_No,z_F,PhD,Doctor,22,Private,"$34,150 ",4,Sports Car,no,$0 ,0,No,3,$0 ,1,0,Greenwood,3/8/2014
298271736,0,63,0,15,"$121,398 ",No,"$343,410 ",Yes,z_F,PhD,Doctor,10,Private,"$16,270 ",1,z_SUV,no,$0 ,0,No,0,$0 ,11,0,Cranston,8/28/2015
70821537,0,52,0,0,$0 ,No,"$87,925 ",z_No,z_F,z_High School,Student,48,Commercial,"$9,280 ",1,z_SUV,no,$0 ,0,No,1,$0 ,6,0,Cranston,5/1/2015
258951025,0,35,0,7,"$14,508 ",No,$0 ,Yes,M,Bachelors,Student,22,Commercial,"$6,450 ",1,Pickup,no,$0 ,0,No,0,$0 ,7,0,Cranston,12/18/2015
807174588,0,43,0,13,"$75,338 ",No,"$270,555 ",Yes,z_F,Bachelors,Manager,40,Private,"$23,080 ",1,Sports Car,no,$0 ,0,No,0,$0 ,8,0,New York City,10/24/2012
514538041,0,41,0,10,"$32,774 ",No,$0 ,z_No,z_F,z_High School,Clerical,44,Private,"$20,120 ",4,Minivan,no,$0 ,0,No,0,$0 ,1,0,Los Angeles,9/18/2015
25561360,0,40,0,11,"$57,474 ",No,"$186,418 ",Yes,M,Bachelors,Clerical,5,Commercial,"$29,270 ",4,Panel Truck,yes,$0 ,0,No,1,$0 ,5,0,Henderson,12/30/2012
753037176,0,31,1,12,"$26,520 ",No,"$154,493 ",Yes,M,Bachelors,Student,62,Commercial,"$4,600 ",6,Minivan,yes,$0 ,0,No,2,$0 ,5,0,Arlington,12/16/2012
883748009,0,47,0,8,"$18,444 ",No,$0 ,Yes,z_F,z_High School,Student,35,Commercial,"$19,450 ",6,z_SUV,no,"$2,981 ",2,No,5,$0 ,,0,Cranston,12/18/2014
31827166,0,53,0,,"$107,259 ",No,"$343,700 ",Yes,M,Masters,Professional,36,Private,"$29,230 ",10,Minivan,yes,$0 ,0,No,0,$0 ,15,0,Chester,5/30/2013
680782638,0,39,3,7,"$34,046 ",No,"$183,383 ",Yes,z_F,z_High School,Clerical,33,Private,"$4,040 ",6,z_SUV,no,$0 ,0,No,0,$0 ,5,0,Knoxville,4/21/2012
883604551,0,33,3,14,"$32,364 ",No,"$152,894 ",Yes,M,<High School,Clerical,40,Private,"$12,270 ",18,Minivan,yes,$0 ,0,No,3,$0 ,1,0,Cranston,5/25/2013
714473703,0,59,0,5,"$106,775 ",No,,z_No,M,Masters,Lawyer,10,Private,"$31,930 ",1,Minivan,yes,$0 ,0,No,0,$0 ,,0,Arlington,8/5/2015
213057541,0,42,0,,"$52,988 ",No,"$176,275 ",Yes,M,z_High School,z_Blue Collar,24,Commercial,"$23,450 ",1,Minivan,no,$0 ,0,No,2,$0 ,11,0,Los Angeles,5/12/2012
885280620,0,40,0,11,"$16,989 ",No,$0 ,z_No,M,<High School,z_Blue Collar,20,Commercial,"$12,230 ",4,Pickup,yes,"$26,104 ",1,Yes,13,"$6,100 ",6,1,Los Angeles,3/11/2015
931739722,0,41,2,7,"$17,755 ",Yes,"$148,815 ",z_No,z_F,<High School,Clerical,29,Private,"$14,480 ",1,Minivan,yes,$0 ,0,Yes,2,$0 ,1,0,Atlanta,12/19/2015
939401184,1,37,2,13,,Yes,$0 ,z_No,z_F,z_High School,z_Blue Collar,62,Commercial,"$9,360 ",4,Sports Car,no,$0 ,0,No,0,"$6,195 ",,1,Cranston,8/11/2015
840809480,0,36,3,12,"$56,048 ",No,"$137,836 ",Yes,M,Masters,Lawyer,15,Private,"$10,700 ",6,Minivan,no,"$2,045 ",2,No,2,$0 ,16,0,Huntington Beach,8/31/2014
800426023,0,44,2,15,"$16,352 ",No,"$134,164 ",Yes,z_F,z_High School,Home Maker,37,Private,"$10,520 ",1,z_SUV,no,"$7,838 ",1,No,1,"$8,841 ",1,1,Columbus,1/18/2015
14827139,0,56,0,16,"$44,760 ",No,"$164,852 ",Yes,M,Bachelors,Manager,30,Private,"$21,770 ",13,Minivan,yes,$0 ,0,No,0,$0 ,6,0,Chester,1/3/2015
212687745,1,45,1,14,"$63,952 ",No,"$196,368 ",Yes,z_F,Masters,Lawyer,50,Private,"$32,340 ",6,Van,no,"$27,877 ",2,Yes,0,"$2,117 ",13,1,Knoxville,12/7/2015
224701093,0,34,3,12,"$22,510 ",No,"$123,888 ",Yes,M,z_High School,Clerical,26,Private,"$14,690 ",4,Minivan,yes,$0 ,0,Yes,0,"$1,230 ",1,1,Philadelphia,12/16/2015
401200262,0,48,0,,,No,"$252,896 ",Yes,M,Bachelors,Professional,14,Commercial,"$28,560 ",13,Panel Truck,yes,"$1,554 ",5,No,1,$0 ,10,0,New York City,11/20/2015
926073051,1,44,2,,"$24,060 ",Yes,$0 ,z_No,M,Bachelors,Clerical,24,Private,"$14,220 ",4,Minivan,no,$0 ,0,No,0,"$3,532 ",10,1,Springfield,11/8/2012
45830738,0,33,4,12,"$20,822 ",No,"$76,022 ",Yes,z_F,z_High School,Home Maker,46,Private,"$6,880 ",13,z_SUV,no,"$7,896 ",3,No,0,$866 ,1,1,New York City,6/7/2014
997497927,0,32,3,14,"$54,968 ",No,"$146,784 ",Yes,z_F,z_High School,Professional,20,Private,"$10,040 ",4,z_SUV,no,$0 ,0,Yes,0,$0 ,8,0,Philadelphia,11/21/2012
862203239,0,34,0,8,"$14,194 ",No,"$87,034 ",z_No,z_F,<High School,Clerical,13,Private,"$2,920 ",4,Sports Car,no,"$24,767 ",3,Yes,2,"$7,786 ",10,1,New York City,3/29/2014
116102677,1,38,4,12,"$2,149 ",No,"$72,889 ",Yes,z_F,<High School,Home Maker,35,Private,"$22,690 ",10,Pickup,no,$0 ,0,No,2,$0 ,1,0,Philadelphia,8/26/2015
635101571,0,35,2,12,,Yes,$0 ,z_No,z_F,<High School,z_Blue Collar,43,Private,"$9,730 ",5,z_SUV,no,$0 ,0,No,4,"$5,426 ",4,1,Springfield,9/20/2013
793404097,2,44,2,14,"$45,576 ",No,"$156,623 ",Yes,z_F,<High School,z_Blue Collar,27,Private,"$1,500 ",4,Sports Car,no,"$25,276 ",1,No,8,$0 ,,0,Philadelphia,5/16/2015
62434528,2,43,3,11,"$137,103 ",Yes,$0 ,z_No,z_F,Masters,Manager,29,Private,"$19,510 ",1,Sports Car,no,"$8,890 ",3,No,0,"$4,148 ",15,1,New York City,8/2/2015
935079846,0,49,0,9,,No,$0 ,z_No,M,PhD,,31,Commercial,"$33,710 ",3,Panel Truck,no,"$34,351 ",2,Yes,2,$0 ,18,0,Charlottesville,11/24/2014
948288985,0,46,0,10,"$79,538 ",No,$0 ,z_No,z_F,Bachelors,Manager,13,Private,"$14,050 ",3,Minivan,no,$0 ,0,Yes,2,$0 ,11,0,Springfield,11/8/2012
396323054,0,45,1,11,"$185,836 ",No,"$509,115 ",Yes,z_F,PhD,Lawyer,28,Private,"$10,250 ",1,z_SUV,no,"$4,307 ",3,No,6,$0 ,20,0,San Diego,10/27/2012
299024508,0,46,0,14,,No,"$397,661 ",z_No,M,Masters,,22,Commercial,"$33,320 ",4,Panel Truck,yes,$0 ,0,Yes,1,$0 ,12,0,Springfield,11/19/2015
39392545,0,45,0,11,"$61,931 ",No,"$213,530 ",Yes,M,Masters,,30,Commercial,"$10,910 ",13,Pickup,yes,"$25,106 ",2,No,0,$0 ,,0,New York City,10/28/2015
536604822,0,48,0,9,"$61,509 ",No,"$195,438 ",Yes,M,Masters,,40,Commercial,"$23,230 ",6,Panel Truck,yes,$0 ,0,No,1,$0 ,17,0,Irving,9/26/2014
429992959,0,63,0,9,"$74,426 ",No,$0 ,z_No,z_F,PhD,Doctor,11,Private,"$27,600 ",1,z_SUV,no,$0 ,0,No,0,$0 ,18,0,Chicago,9/5/2015
160577728,0,44,0,9,"$74,722 ",No,"$231,034 ",Yes,z_F,Bachelors,Professional,9,Private,"$23,640 ",6,Minivan,no,$0 ,0,No,0,$0 ,1,0,Irving,1/29/2014
108385737,1,45,2,11,"$102,393 ",Yes,$0 ,z_No,M,Bachelors,Professional,25,Private,"$1,500 ",1,Minivan,yes,$0 ,0,No,2,"$2,371 ",11,1,Irving,9/18/2013
414142186,0,62,0,15,"$40,656 ",No,"$208,242 ",Yes,z_F,z_High School,Clerical,57,Private,"$9,170 ",4,Sports Car,no,"$42,342 ",2,Yes,2,"$4,178 ",7,1,Philadelphia,11/23/2014
421217157,0,48,0,0,$0 ,No,"$98,920 ",Yes,z_F,z_High School,Home Maker,50,Private,"$8,660 ",3,Sports Car,no,"$8,363 ",2,No,3,$0 ,,0,Springfield,6/13/2013
935010485,1,37,2,12,,No,"$205,211 ",Yes,z_F,Bachelors,z_Blue Collar,43,Commercial,"$5,200 ",1,z_SUV,no,"$2,718 ",1,No,1,"$4,804 ",3,1,Springfield,10/28/2014
537840281,0,35,0,,"$29,371 ",No,$0 ,z_No,z_F,<High School,Clerical,49,Private,"$4,860 ",10,Sports Car,no,$0 ,0,No,0,$0 ,1,0,New York City,12/12/2014
748139140,0,48,0,12,"$31,773 ",No,"$165,090 ",Yes,M,z_High School,Clerical,14,Commercial,"$9,640 ",13,Pickup,no,"$1,212 ",1,No,4,"$1,354 ",1,1,New York City,5/25/2013
601118153,0,39,0,11,"$33,727 ",No,$0 ,z_No,z_F,Bachelors,Clerical,27,Private,"$10,850 ",1,z_SUV,no,"$8,350 ",1,No,2,$0 ,12,0,Chicago,10/4/2015
808304017,0,49,0,0,$0 ,No,"$159,389 ",Yes,z_F,Masters,Professional,42,Private,"$6,400 ",10,z_SUV,no,"$9,115 ",1,No,6,$0 ,14,0,Detroit,12/2/2014
803325269,0,44,2,15,"$139,330 ",Yes,"$316,900 ",z_No,z_F,z_High School,z_Blue Collar,35,Commercial,"$22,050 ",10,Sports Car,no,$0 ,0,No,0,$0 ,1,0,Pearland,1/3/2015
701235200,0,50,0,13,"$163,296 ",No,"$447,616 ",z_No,z_F,PhD,Lawyer,42,Private,"$22,830 ",1,Minivan,no,$0 ,0,No,0,$0 ,14,0,Henderson,1/28/2014
916609661,0,30,1,10,"$17,455 ",Yes,"$140,978 ",z_No,z_F,<High School,z_Blue Collar,50,Private,"$12,380 ",13,Minivan,no,$0 ,0,No,0,$0 ,6,0,Indianapolis,5/7/2013
469714824,0,54,0,,"$71,007 ",No,"$240,833 ",Yes,M,Bachelors,Manager,61,Private,"$14,000 ",6,Minivan,no,$0 ,0,No,0,$0 ,11,0,Portland,11/27/2014
46606719,0,38,0,0,$0 ,No,$0 ,Yes,M,z_High School,Student,41,Commercial,"$17,470 ",10,Van,no,"$3,157 ",2,No,5,$0 ,6,0,Phoenix,11/28/2013
454040458,0,53,0,6,"$38,036 ",No,"$153,381 ",Yes,z_F,z_High School,z_Blue Collar,32,Commercial,"$13,140 ",1,z_SUV,no,$0 ,0,No,4,"$2,425 ",1,1,Houston,9/29/2013
951246359,0,53,0,13,"$41,199 ",No,"$150,933 ",z_No,z_F,Bachelors,Manager,21,Private,"$15,360 ",1,z_SUV,no,$0 ,0,No,0,$0 ,8,0,Phoenix,9/3/2014
389315422,0,29,1,10,"$38,042 ",Yes,"$202,967 ",z_No,M,z_High School,Professional,15,Private,"$15,160 ",6,Minivan,no,$0 ,0,No,0,$0 ,1,0,Houston,7/26/2014
180660768,0,58,0,11,"$91,223 ",No,$0 ,z_No,M,Masters,Lawyer,23,Private,"$10,620 ",6,Pickup,no,$0 ,0,No,0,$0 ,,0,Phoenix,11/19/2015
184578161,0,55,0,7,"$45,787 ",No,"$173,196 ",Yes,z_F,Masters,Lawyer,5,Private,"$19,380 ",6,Minivan,no,$0 ,0,No,0,$0 ,13,0,Houston,6/19/2013
59798468,0,55,0,,"$84,964 ",No,"$227,091 ",Yes,M,Bachelors,z_Blue Collar,21,Commercial,"$5,760 ",1,Pickup,yes,$969 ,2,No,6,$0 ,11,0,Bloomington,10/11/2013
957817015,0,56,0,8,"$38,240 ",No,"$190,675 ",Yes,z_F,z_High School,Clerical,28,Private,"$16,220 ",4,z_SUV,no,$0 ,0,No,0,$0 ,,0,Houston,8/8/2012
402443529,0,39,2,0,$0 ,No,"$69,369 ",Yes,z_F,z_High School,Home Maker,36,Private,"$8,750 ",4,Sports Car,no,$0 ,0,No,0,$0 ,8,0,New York City,11/4/2012
298667574,2,44,2,13,"$142,588 ",No,"$365,256 ",Yes,M,Masters,Manager,28,Private,"$21,790 ",6,Minivan,yes,$0 ,0,No,2,$0 ,9,0,Phoenix,7/26/2012
303462460,0,34,0,11,"$51,565 ",No,$0 ,z_No,M,Masters,Lawyer,36,Private,"$18,110 ",1,Van,yes,$759 ,2,No,3,$0 ,15,0,Houston,4/26/2014
629946797,0,34,3,0,$0 ,No,"$66,358 ",Yes,z_F,z_High School,Home Maker,25,Private,"$11,740 ",9,z_SUV,no,"$1,800 ",2,No,2,"$5,711 ",1,1,Phoenix,12/26/2014
783473090,0,36,0,11,"$105,384 ",No,"$267,509 ",Yes,M,Masters,Professional,24,Private,"$13,800 ",7,Minivan,yes,"$31,695 ",3,Yes,4,$0 ,17,0,Henderson,3/13/2014
8565171,0,41,0,10,"$66,265 ",No,"$159,276 ",Yes,M,Masters,Lawyer,59,Private,"$12,230 ",4,Minivan,yes,$0 ,0,No,1,"$13,105 ",9,1,Houston,3/29/2014
950995873,0,46,0,7,,No,,z_No,M,Masters,,17,Commercial,"$23,350 ",13,Panel Truck,yes,"$4,678 ",3,No,6,"$4,061 ",17,1,Indianapolis,4/5/2013
867703916,0,45,0,12,"$32,394 ",No,$0 ,z_No,z_F,z_High School,Clerical,33,Private,"$13,770 ",4,z_SUV,no,$0 ,0,No,0,$0 ,1,0,Salem,12/26/2013
593582812,0,42,0,9,"$76,226 ",No,"$217,920 ",Yes,M,Bachelors,z_Blue Collar,18,Commercial,"$23,390 ",13,Panel Truck,yes,$0 ,0,No,0,$0 ,14,0,San Francisco,4/18/2014
22340563,1,38,3,16,"$7,528 ",No,"$113,809 ",Yes,M,<High School,Clerical,26,Private,"$8,080 ",1,Pickup,yes,$0 ,0,No,0,$0 ,8,0,Tucson,5/23/2012
679555193,0,33,4,0,$0 ,Yes,$0 ,z_No,M,z_High School,Student,14,Commercial,"$15,090 ",1,Minivan,yes,"$1,631 ",1,No,2,"$7,838 ",5,1,San Francisco,8/2/2015
161607403,0,37,0,0,,No,"$73,890 ",Yes,z_F,Bachelors,Student,48,Commercial,"$12,850 ",7,z_SUV,no,$0 ,0,No,3,"$3,660 ",6,1,Houston,5/16/2014
700623278,1,42,1,9,"$32,797 ",No,"$160,661 ",Yes,z_F,Masters,Lawyer,63,Private,"$21,690 ",1,Minivan,no,$0 ,0,No,2,$0 ,14,0,Louisville,1/3/2015
755810990,0,47,0,11,"$44,705 ",No,"$217,885 ",Yes,z_F,Bachelors,Professional,50,Private,"$12,840 ",1,z_SUV,no,"$1,533 ",2,No,0,"$5,125 ",10,1,Louisville,2/16/2012
464090162,0,43,1,0,$0 ,No,"$70,170 ",Yes,z_F,Bachelors,Home Maker,26,Private,"$8,350 ",1,z_SUV,no,$0 ,0,No,3,$0 ,7,0,Salem,5/31/2014
170483243,0,52,0,9,"$68,992 ",No,"$216,986 ",z_No,z_F,Bachelors,z_Blue Collar,36,Commercial,"$15,120 ",1,Minivan,no,$0 ,0,No,3,$0 ,10,0,Salem,10/1/2014
421316364,0,43,0,11,"$132,561 ",No,"$314,433 ",z_No,M,Masters,Professional,8,Commercial,"$30,150 ",16,Panel Truck,no,"$12,294 ",1,No,0,$0 ,1,0,Salem,11/7/2015
505563410,0,64,0,15,"$31,738 ",No,"$197,010 ",Yes,M,<High School,z_Blue Collar,23,Commercial,"$14,620 ",6,z_SUV,no,"$3,994 ",2,No,0,"$5,085 ",1,1,Salem,9/2/2014
813759954,0,66,1,17,"$96,830 ",No,"$325,826 ",Yes,M,Masters,Professional,23,Private,"$11,180 ",7,z_SUV,no,$0 ,0,No,0,$0 ,16,0,Salem,12/11/2014
37074844,0,60,0,9,"$125,893 ",No,$0 ,z_No,M,PhD,,21,Commercial,"$7,500 ",9,Pickup,yes,"$7,278 ",2,No,4,$0 ,15,0,Houston,3/18/2015
130470336,2,35,4,6,"$154,577 ",Yes,"$397,868 ",z_No,z_F,Bachelors,z_Blue Collar,27,Private,"$20,450 ",6,z_SUV,no,"$4,645 ",1,No,3,$0 ,1,0,Salem,12/19/2015
637739719,0,52,0,7,"$64,014 ",No,"$244,863 ",Yes,M,<High School,z_Blue Collar,33,Commercial,"$7,900 ",4,Pickup,yes,"$8,882 ",3,No,1,"$2,143 ",5,1,Aurora,11/7/2015
427956603,0,52,0,11,"$79,348 ",No,"$270,032 ",Yes,z_F,z_High School,Manager,23,Private,"$13,150 ",11,z_SUV,no,$0 ,0,No,2,$0 ,1,0,Dallas,3/14/2014
993272296,0,56,2,14,"$192,089 ",No,"$471,701 ",Yes,M,PhD,,31,Commercial,"$21,100 ",1,Van,yes,$0 ,0,No,0,"$6,484 ",,1,New York City,11/7/2015
880941719,1,38,1,7,,No,$0 ,Yes,z_F,z_High School,Student,40,Private,"$7,050 ",4,Sports Car,no,$0 ,0,No,0,$0 ,10,0,New York City,9/18/2015
765577228,0,55,0,15,"$108,152 ",No,"$329,756 ",Yes,z_F,Masters,Manager,18,Private,"$12,320 ",1,z_SUV,no,$0 ,0,Yes,0,$0 ,15,0,Auburn,11/25/2014
879477038,0,47,0,14,,No,"$276,241 ",Yes,M,Bachelors,Manager,48,Private,"$21,320 ",1,Van,yes,$0 ,0,No,0,$0 ,13,0,Yonkers,11/7/2014
